表名,字段名
dim_bb_color,bb_percent、color_code、color、yas_load_time
dim_bin_color,product_type、bin、bin_type、color_code、color、yas_load_time
dim_calendar,mfgdate、mfgyear、mfgmonth、mfgweek、jobshift_day、jobshift_night、mfg_week、week_day、week_days、month_days、date_start、date_end、week_start、week_end、month_start、month_end、yas_load_time
dim_downgrade_ratio_fcst,project、fab_site_id、ratio、yas_load_time
dim_fdc_indicator,eqp_id、indicator_name、ucl、lcl、usl、lsl、uml、lml、company、section、eqp_group、fp_version、fp_name、module_id、module_name、module_type_name、recipe_id、recipe_alias、fp_deployed_ts、owning_fab、fab_site_id、yas_load_time
dim_ft_dut_map,tool_type、type_no、site、dut、x、y、dsa_no、yas_load_time
dim_insp_layer,layer_id、fab_site_id、owning_fab、yas_load_time
dim_insp_param,param_id、value_type、definition、fab_site_id、owning_fab、yas_load_time
dim_met_defect_chart,bin_type、bin_id、class_name、chart_name、modify_by、modify_date、checked、yas_load_time
dim_met_inline_pam,parameter_name、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_edc_plan、yas_load_time
dim_met_inline_param,product_id、recipe_name、parameter_name、measure_stage、measure_step_seq、test_item、process_stage、chart_type、module、yas_load_time
dim_met_inline_site,parameter_name、product_id、site_id、product_type、die_x、die_y、shot_x、shot_y、site_x、site_y、wafer_x、wafer_y、radius、modify_user、yas_load_time
dim_met_param,parameter_name、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_edc_plan、yas_load_time
dim_met_site,parameter_name、product_id、site_id、product_type、die_x、die_y、site_x、site_y、wafer_x、wafer_y、radius、modify_user、yas_load_time
dim_site_fab_mapping,id、fab_site_id、owning_fab、update_time
dim_unbiased_constant,n、d2、d3、d4、c4、c5、yas_load_time
dim_voc_eqp_setting_par,eqp_type、eqp_key、eqp_id、measure_item、updatetime、system_type、x_axis_type、yas_load_time
dim_wat_param,product_type、test_type、parameter_name、parameter_id、unit、parameter_type、product_id、yas_load_time
dim_wat_site,product_type、test_type、site_id、site_count、die_x、die_y、site_x、site_y、product_id、modify_user、yas_load_time
dim_wip_eqp,eqp_id、module、segment、eqp_type、eqp_model、construct_type、process_type、port_type、default_stocker_id、default_stocker_port、track_in_unit、allow_multi_lot、allow_multi_ppid、nick_eqp_id、parent_eqp_id、seq、chamber_flag、furnace_flag、capability_name、buffer_capacity、max_batch_carriers、min_batch_carriers、max_batch_wafers、min_batch_wafers、max_batch、comments、floor、fab_layout_area、sort_site、area、sub_area、yas_load_time
dim_wip_lot_type,lot_type、description、category、fab_site_id、owning_fab、yas_load_time
dim_wip_product,product_id、product_group、product_type、product_stage、product_center、wafer_type、active_version、top_plan_id、owner、product_usage、technology、max_recycle_cnt、max_usage_cnt、ship_requirement、project_code、fab_site_id、owning_fab、yas_load_time
dim_ws_bin,product_type、bin_code、product_id、test_step、bin_type、bin_name、bin_flag、bin_color、yas_load_time
dim_ws_datalevel,product_type、datalevel_type、id、owning_fab、fab_site_id、yas_load_time
